Barangay,Total no. of Households,Total no. of Population,Total no. of Population (Male),Total no. of Population (Female),households wih income below poverty threshold,Households who are Informal settlers,Household living in Makeshift housing,number of members of the labor force (Total),number of members of the labor force (Male),number of members of the labor force (Female),"unemployed members of the labor force (Magnitude, Total)","unemployed members of the labor force (Magnitude, Male)","unemployed members of the labor force (Magnitude, Female)","unemployed members of the labor force (Proportion, Total)","unemployed members of the labor force (Proportion, Male)","unemployed members of the labor force (Proportion, Female)",number of Employed members of the labor force (Total),number of Employed members of the labor force (Male),number of Employed members of the labor force (Female),"underemployed workers (Magnitude, Total)","underemployed workers (Magnitude, Male)","underemployed workers (Magnitude, Female)","underemployed workers (Proportion, Total)","underemployed workers (Proportion, Male)","underemployed workers (Proportion, Female)",number of senior citizens (Total),number of senior citizens (Male),number of senior citizens (Female),"Senior citizens with ID (Magnitude, Total)","Senior citizens with ID (Magnitude, Male)","Senior citizens with ID (Magnitude, Female)","Senior citizens with ID (Proportion, Total)","Senior citizens with ID (Proportion, Male)","Senior citizens with ID (Proportion, Female)",PWD Indicator (TOTAL),number of children 0-5 years old (Total),number of children 0-5 years old (Male),number of children 0-5 years old (Female),"malnourished children 0-5 years old (Magnitude, Total)","malnourished children 0-5 years old (Magnitude, Male)","malnourished children 0-5 years old (Magnitude, Female)","malnourished children 0-5 years old (Proportion, Total)","malnourished children 0-5 years old (Proportion, Male)","malnourished children 0-5 years old (Proportion, Female)",Households with access to electricty,"victims of crime (Magnitude, Total)","victims of crime (Magnitude, Male)","victims of crime (Magnitude, Female)","victims of crime (Proportion, Total)","victims of crime (Proportion, Male)","victims of crime (Proportion, Female)",engaged in crop farming and gardening,engaged in livestock/poultry,engaged in fishing,engaged in forestry,engaged in wholesale/retail,engaged in manufacturing,"engaged in community, social & personal service","engaged in transportation, storage & communicat",engaged in mining & quarrying,engaged in construction,other activities nec,OFW
Carabatan Bacareno,59,230,119,111,20,1,0,89,71,18,4,3,1,4.49,4.23,5.56,85,68,17,15,10,5,17.65,14.71,29.41,22,13,9,20,12,8,90.91,92.31,88.89,1,20,11,9,0,0,0,0.0,0.0,0.0,58,0,0,0,0.0,0.0,0.0,22,10,0,1,0,0,1,0,0,2,0,2
Casalatan,159,618,332,286,72,1,1,232,179,53,14,7,7,6.03,3.91,13.21,218,172,46,44,35,9,20.18,20.35,19.57,43,20,23,42,19,23,97.67,95.0,100.0,2,79,41,38,1,1,0,1.27,2.44,0.0,153,0,0,0,0.0,0.0,0.0,27,21,1,0,6,0,0,2,0,2,0,16
San Pablo,411,1467,754,713,192,32,5,564,425,139,22,13,9,3.9,3.06,6.47,542,412,130,147,99,48,27.12,24.03,36.92,126,56,70,115,50,65,91.27,89.29,92.86,13,158,74,84,0,0,0,0.0,0.0,0.0,381,0,0,0,0.0,0.0,0.0,79,45,0,0,15,3,2,15,0,1,2,50
Cassap Fuera,18,76,31,45,5,0,0,30,19,11,0,0,0,0.0,0.0,0.0,30,19,11,9,6,3,30.0,31.58,27.27,3,1,2,3,1,2,100.0,100.0,100.0,0,4,1,3,0,0,0,0.0,0.0,0.0,18,0,0,0,0.0,0.0,0.0,12,12,0,0,0,0,0,0,0,0,0,5
Catalina,22,91,47,44,15,9,0,37,26,11,5,4,1,13.51,15.38,9.09,32,22,10,5,4,1,15.63,18.18,10.0,8,4,4,6,2,4,75.0,50.0,100.0,2,8,3,5,0,0,0,0.0,0.0,0.0,22,1,1,0,1.1,2.13,0.0,7,5,0,0,2,0,0,0,0,1,0,2
Culalabat,206,696,344,352,51,1,1,270,207,63,12,9,3,4.44,4.35,4.76,258,198,60,65,50,15,25.19,25.25,25.0,60,28,32,58,26,32,96.67,92.86,100.0,4,92,42,50,2,2,0,2.17,4.76,0.0,195,0,0,0,0.0,0.0,0.0,25,14,0,1,12,0,0,6,1,0,1,42
Dabburab,297,1026,513,513,92,12,5,416,289,127,15,8,7,3.61,2.77,5.51,401,281,120,50,39,11,12.47,13.88,9.17,129,60,69,108,50,58,83.72,83.33,84.06,11,116,63,53,1,0,1,0.86,0.0,1.89,282,0,0,0,0.0,0.0,0.0,68,34,1,0,10,0,3,12,0,2,0,23
De Vera,239,990,549,441,143,3,3,332,269,63,8,7,1,2.41,2.6,1.59,324,262,62,66,57,9,20.37,21.76,14.52,55,21,34,51,18,33,92.73,85.71,97.06,8,127,73,54,4,3,1,3.15,4.11,1.85,223,1,1,0,0.1,0.18,0.0,96,33,0,1,5,0,0,4,0,3,1,13
Dianao,167,583,298,285,91,1,0,244,175,69,8,5,3,3.28,2.86,4.35,236,170,66,31,24,7,13.14,14.12,10.61,39,20,19,33,18,15,84.62,90.0,78.95,4,64,34,30,3,1,2,4.69,2.94,6.67,150,0,0,0,0.0,0.0,0.0,88,24,0,0,3,0,0,1,0,0,1,11
Disimuray,267,955,515,440,145,7,2,361,288,73,5,4,1,1.38,1.39,1.37,356,284,72,45,38,7,12.64,13.38,9.72,58,25,33,47,20,27,81.03,80.0,81.82,9,100,48,52,1,1,0,1.0,2.08,0.0,236,0,0,0,0.0,0.0,0.0,112,34,0,0,4,2,1,0,0,0,0,15
District I,2909,10129,5083,5046,674,73,59,3955,2580,1375,182,110,72,4.6,4.26,5.24,3773,2470,1303,1036,672,364,27.46,27.21,27.94,802,333,469,713,295,418,88.9,88.59,89.13,83,1232,639,593,14,7,7,1.14,1.1,1.18,2826,2,1,1,0.02,0.02,0.02,58,10,0,2,339,12,22,222,1,40,37,206
District II,768,2291,1136,1155,140,24,8,944,590,354,47,34,13,4.98,5.76,3.67,897,556,341,148,100,48,16.5,17.99,14.08,229,97,132,202,86,116,88.21,88.66,87.88,22,240,135,105,0,0,0,0.0,0.0,0.0,756,1,1,0,0.04,0.09,0.0,24,2,0,1,88,3,12,50,0,2,7,49
District III,1096,3997,2050,1947,312,20,37,1513,999,514,49,25,24,3.24,2.5,4.67,1464,974,490,358,252,106,24.45,25.87,21.63,306,143,163,278,128,150,90.85,89.51,92.02,33,518,262,256,4,2,2,0.77,0.76,0.78,1051,0,0,0,0.0,0.0,0.0,15,5,1,0,136,7,11,95,0,27,12,81
Duminit,329,1261,658,603,146,2,5,487,357,130,29,21,8,5.95,5.88,6.15,458,336,122,91,73,18,19.87,21.73,14.75,97,40,57,79,29,50,81.44,72.5,87.72,12,167,86,81,6,2,4,3.59,2.33,4.94,306,1,1,0,0.08,0.15,0.0,34,3,0,0,14,0,1,14,0,0,0,22
Faustino,360,1358,725,633,144,4,5,511,393,118,21,12,9,4.11,3.05,7.63,490,381,109,86,71,15,17.55,18.64,13.76,107,57,50,96,50,46,89.72,87.72,92.0,11,177,95,82,10,5,5,5.65,5.26,6.1,337,0,0,0,0.0,0.0,0.0,53,13,0,0,30,1,1,22,0,14,1,40
